Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of ,Deliverable,% Dly Qt to
,,,,,,,,,,Quantity,,Trades,Qty,Traded Qty
LICNETFSEN,EQ,27-Aug-18,400,400,400,400,400,400,400,3,"1,200.00",1,3,100
LICNETFSEN,EQ,28-Aug-18,400,415.95,421,373,397.5,397.5,395.14,273,"1,07,872.45",18,257,94.14
LICNETFSEN,EQ,29-Aug-18,397.5,393.01,393.01,393.01,393.01,393.01,393.01,1,393.01,1,1,100
LICNETFSEN,EQ,31-Aug-18,393.01,393.1,393.1,393,393,393,393.08,12,"4,717.00",3,11,91.67
LICNETFSEN,EQ,3-Sep-18,393,395.2,414.5,395.2,395.2,395.2,404.81,"1,004","4,06,430.80",3,4,0.4
LICNETFSEN,EQ,5-Sep-18,395.2,393,395,360.5,371.05,375.84,378.99,54,"20,465.29",19,24,44.44
LICNETFSEN,EQ,6-Sep-18,375.84,393,393,388.05,388.05,388.05,390.53,2,781.05,2,0,0
LICNETFSEN,EQ,7-Sep-18,388.05,472,472,394,425,425,408.92,13,"5,316.00",8,7,53.85
LICNETFSEN,EQ,10-Sep-18,425,425,425.95,390.01,425.95,425.95,420.63,112,"47,110.11",15,108,96.43
LICNETFSEN,EQ,11-Sep-18,425.95,393.1,415,393.1,415,415,404.46,219,"88,576.00",11,10,4.57
LICNETFSEN,EQ,12-Sep-18,415,400,415.5,380,415.5,403.5,394.85,26,"10,266.00",13,10,38.46
LICNETFSEN,EQ,17-Sep-18,403.5,393.5,413.5,393.5,400,400,403.49,"2,002","8,07,795.50",5,0,0
LICNETFSEN,EQ,18-Sep-18,400,398,404.95,392.6,401.9,401.9,398.48,"2,004","7,98,551.80",9,3,0.15
LICNETFSEN,EQ,21-Sep-18,401.9,393.5,415,392.5,393.01,393.01,402.02,677,"2,72,169.26",15,44,6.5
LICNETFSEN,EQ,24-Sep-18,393.01,405.95,405.95,390.05,390.05,390.05,398,4,"1,592.00",2,2,50
LICNETFSEN,EQ,25-Sep-18,390.05,393,393,373.01,373.01,375.4,386.5,26,"10,049.04",10,20,76.92
LICNETFSEN,EQ,26-Sep-18,375.4,393,393,366.5,366.5,366.5,381.4,5,"1,907.00",4,3,60
LICNETFSEN,EQ,27-Sep-18,366.5,389,441,367.1,367.1,367.1,386.92,100,"38,691.75",25,32,32
LICNETFSEN,EQ,28-Sep-18,367.1,380,380,368,368.01,368.01,371,7,"2,597.02",6,4,57.14
LICNETFSEN,EQ,3-Oct-18,368.01,364,420,364,418,418,385.25,"1,410","5,43,201.65",26,195,13.83
LICNETFSEN,EQ,5-Oct-18,418,370,384,370,384,384,373.51,4,"1,494.05",4,2,50
LICNETFSEN,EQ,8-Oct-18,384,368.01,368.01,356.1,356.1,356.1,367.87,206,"75,781.22",7,204,99.03
LICNETFSEN,EQ,9-Oct-18,356.1,355.1,383.9,355.1,368.01,368.01,371.14,"3,006","11,15,660.86",15,0,0
LICNETFSEN,EQ,12-Oct-18,368.01,368,389.5,354,374,374,367.21,"1,481","5,43,838.30",23,68,4.59
LICNETFSEN,EQ,16-Oct-18,374,368.01,390,348.8,389,387.41,369.59,"1,467","5,42,185.10",55,5,0.34
LICNETFSEN,EQ,19-Oct-18,387.41,363.05,379.9,363.05,370,370,371.46,502,"1,86,471.70",6,0,0
LICNETFSEN,EQ,22-Oct-18,370,368,369.9,363.15,369.9,369.9,366.53,"2,000","7,33,052.95",4,0,0
LICNETFSEN,EQ,24-Oct-18,369.9,358,369.8,353.02,360,360,361.4,"1,601","5,78,604.38",6,0,0
LICNETFSEN,EQ,26-Oct-18,360,358,378.9,355.05,359,359,366.67,"1,021","3,74,368.35",13,10,0.98
LICNETFSEN,EQ,30-Oct-18,359,358,364.8,348,348.1,348.1,358.36,"2,021","7,24,245.20",15,10,0.49
LICNETFSEN,EQ,1-Nov-18,348.1,380,390,338.8,360,361.28,360.33,236,"85,037.30",26,24,10.17
LICNETFSEN,EQ,12-Nov-18,361.28,360.1,379.9,355.55,360.1,360.1,367.22,213,"78,217.30",5,3,1.41
LICNETFSEN,EQ,13-Nov-18,360.1,360,379.5,353.1,368.95,368.95,364.02,"2,931","10,66,941.60",16,21,0.72
LICNETFSEN,EQ,14-Nov-18,368.95,358.5,372,358.2,371.9,371.9,365.11,"1,030","3,76,063.00",10,20,1.94
LICNETFSEN,EQ,15-Nov-18,371.9,360.5,372,360.5,372,372,361.05,21,"7,582.00",3,20,95.24
LICNETFSEN,EQ,16-Nov-18,372,360.15,379.8,360.1,360.1,360.1,369.47,210,"77,588.00",4,0,0
LICNETFSEN,EQ,19-Nov-18,360.1,361.05,361.05,361.05,361.05,361.05,361.05,1,361.05,1,1,100
LICNETFSEN,EQ,20-Nov-18,361.05,361.05,373.9,358.6,373.9,373.9,366.25,"1,400","5,12,755.65",6,0,0
LICNETFSEN,EQ,21-Nov-18,373.9,370,372,358.6,372,372,365.33,"1,009","3,68,620.60",5,10,0.99
LICNETFSEN,EQ,22-Nov-18,372,372.9,379.9,358.55,377,377,368.89,"2,010","7,41,461.00",12,15,0.75
